LOR_KENNUNG,Anzahl_DS,Anzahl_Delikt_FD,Anzahl_Delikt_KB,PLR,PGR,BEZIRK
12500928,48,48,,Waidmannslust,Wittenau/Borsigwalde,Reinickendorf
08100311,47,47,,Reuterplatz,Neukölln,Neukölln
04400727,47,44,3.0,Flinsberger Platz,Wilmersdorf Süd,Charlottenburg-Wilmersdorf
01401049,47,43,4.0,Schulstraße,Wedding,Mitte
11300725,47,44,3.0,Nibelungenviertel,Lichtenberg Nord,Lichtenberg
06300527,46,46,,Sundgauer Straße,Zehlendorf Süd/Lichetrfelde West,Steglitz-Zehlendorf
04500939,46,43,3.0,Eisenzahnstraße,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
03200206,46,46,,Pastor-Niemöller-Platz,Nördliches Pankow,Pankow
01100104,46,42,4.0,Körnerstraße,Zentrum,Mitte
12500927,46,46,,Wittenau Nord,Wittenau/Borsigwalde,Reinickendorf
03400827,46,45,1.0,Trelleborger Viertel,Südliches Pankow,Pankow
03300516,46,42,4.0,Heinersdorf,Nördliches Weißensee,Pankow
04501147,46,43,3.0,Leon-Jessel-Platz,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
04501152,45,43,2.0,Prager Platz,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
07300515,45,42,3.0,Taunusstraße,Friedenau,Tempelhof-Schöneberg
01300731,45,42,3.0,Koloniestraße,Gesundbrunnen,Mitte
07200412,45,40,5.0,Schöneberger Linse,Schöneberg Süd,Tempelhof-Schöneberg
10300734,45,45,,Biesdorf Süd,Biesdorf,Marzahn-Hellersdorf
06300633,45,45,,Augustaplatz,Zehlendorf Süd/Lichetrfelde West,Steglitz-Zehlendorf
01400937,44,36,8.0,Afrikanische Straße,Wedding,Mitte
03601453,44,40,4.0,Alter Schlachthof,Nördlicher Prenzlauer Berg,Pankow
07100205,44,42,2.0,Alvenslebenstraße,Schöneberg Nord,Tempelhof-Schöneberg
11501238,43,42,1.0,Rummelsburg,Lichtenberg Süd,Lichtenberg
03500932,43,36,7.0,Bühringstraße,Südliches Weißensee,Pankow
03200310,42,42,,Krugpfuhl,Nördliches Pankow,Pankow
04300517,42,42,,Tegeler Weg,Charlottenburg Zentrum,Charlottenburg-Wilmersdorf
07200414,42,40,2.0,Hohenfriedbergstraße,Schöneberg Süd,Tempelhof-Schöneberg
09200716,42,42,,Dörpfeldstraße West,Treptow-Köpenick 2,Treptow-Köpenick
08100104,42,41,1.0,Wartheplatz,Neukölln,Neukölln
06400840,42,41,1.0,Fischtal,Zehlendorf Nord/Wannsee,Steglitz-Zehlendorf
07400721,42,38,4.0,Paradestraße,Tempelhof,Tempelhof-Schöneberg
08100103,41,41,,Schillerpromenade Süd,Neukölln,Neukölln
12500824,40,39,1.0,Ziekowstraße/Freie Scholle,Wittenau/Borsigwalde,Reinickendorf
01401045,40,39,1.0,Schwedenstraße,Wedding,Mitte
07601544,40,40,,John-Locke-Straße,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
01100101,40,38,2.0,Stülerstraße,Zentrum,Mitte
02400520,40,39,1.0,Barnimkiez,Friedrichshain West,Friedrichshain-Kreuzberg
06300634,40,40,,Lichterfelde West,Zehlendorf Süd/Lichetrfelde West,Steglitz-Zehlendorf
02500726,40,39,1.0,Hausburgviertel,Freidrichshain Ost,Friedrichshain-Kreuzberg
03601452,40,36,4.0,Velodrom,Nördlicher Prenzlauer Berg,Pankow
02100103,39,33,6.0,Am Berlin Museum,Kreuzberg Nord,Friedrichshain-Kreuzberg
12100103,39,32,7.0,Breitkopfbecken,Reinickendorf Ost,Reinickendorf
04200311,39,38,1.0,Königin-Elisabeth-Straße,Charlottenburg West,Charlottenburg-Wilmersdorf
11401034,39,39,,Tierpark,Lichtenberg Mitte,Lichtenberg
08200623,39,36,3.0,Park am Buschkrug,Britz/Bukow,Neukölln
08100207,38,38,,Rollberg,Neukölln,Neukölln
01200628,38,38,,Lüneburger Straße,Moabit,Mitte
08100419,38,37,1.0,Treptower Straße Nord,Neukölln,Neukölln
10200524,38,28,10.0,Adele-Sandrock-Straße,Hellersdorf,Marzahn-Hellersdorf
09100304,38,34,4.0,Baumschulenweg West,Treptow-Köpenick 1,Treptow-Köpenick
09501940,38,38,,Güterbahnhof Köpenick,Treptow-Köpenick 5,Treptow-Köpenick
04501041,38,36,2.0,George-Grosz-Platz,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
03500935,38,35,3.0,Behaimstraße,Südliches Weißensee,Pankow
12601134,37,27,10.0,Märkisches Zentrum,Märkisches Viertel,Reinickendorf
06100209,37,37,,Feuerbachstraße,Steglitz,Steglitz-Zehlendorf
03400725,37,36,1.0,Schlosspark,Südliches Pankow,Pankow
12100102,37,34,3.0,Hausotterplatz,Reinickendorf Ost,Reinickendorf
10300731,36,36,,Oberfeldstraße,Biesdorf,Marzahn-Hellersdorf
07400822,36,35,1.0,Lindenhofsiedlung,Tempelhof,Tempelhof-Schöneberg
09401329,36,32,4.0,Kietzer Feld/Nachtheide,Treptow-Köpenick 4,Treptow-Köpenick
06400844,36,28,8.0,Dahlem,Zehlendorf Nord/Wannsee,Steglitz-Zehlendorf
04501044,36,35,1.0,Ludwigkirchplatz,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
06200421,35,33,2.0,Königsberger Straße,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
03601450,35,35,,Volkspark Prenzlauer Berg,Nördlicher Prenzlauer Berg,Pankow
04300619,34,34,,Alt-Lietzow,Charlottenburg Zentrum,Charlottenburg-Wilmersdorf
