BSN;Bezirk;Schulart;Schule;Straße;PLZ;Ort;Adresse;Aktueller Status;Standort beauftragt? ;"Begehung durgeführt am:
[Datum]";"Tiefbau abgeschlossen am: 
[Datum]";"Aktive Technik 
verbaut 
am: 
[Datum]";"Anschluss nutzbar? 
[Ja / Nein]"
05G07;Spandau;G;Lynar-Grundschule;Lutherstr. 19-20;13585;Berlin;Lutherstr. 19-20 13585 Berlin;Aktive Technik in Planung;Ja;29.07.22;20.03.23;;Nein
05G08;Spandau;G;Konkordia-Grundschule;Elsflether Weg 26;13581;Berlin;Elsflether Weg 26 13581 Berlin;Anschluss nutzbar;Ja;26.07.22;22.02.23;18.04.24;Ja
05G10;Spandau;G;Grundschule am Birkenhain;Seeburger Str. 59;13581;Berlin;Seeburger Str. 59 13581 Berlin;Anschluss nutzbar;Ja;28.07.22;09.12.22;15.04.24;Ja
05G11;Spandau;G;Robert-Reinick-Grundschule;Jungfernheideweg 33-48;13629;Berlin;Jungfernheideweg 33-48 13629 Berlin;Anschluss nutzbar;Ja;26.07.22;21.02.23;18.01.24;Ja
06A05;Steglitz-Zehlendorf;A;Volkshochschule Steglitz-Zehlendorf;Goethestraße 9-11;12207;Berlin;Goethestraße 9-11 12207 Berlin;Aktive Technik verbaut ohne IHVK;Ja;05.09.22;07.03.24;29.04.24;Nein
06G01;Steglitz-Zehlendorf;G;Nord-Grundschule;Potsdamer Str. 7;14163;Berlin;Potsdamer Str. 7 14163 Berlin;Anschluss nutzbar;Ja;21.06.22;07.11.23;04.12.23;Ja
06G02;Steglitz-Zehlendorf;G;Süd-Grundschule;Claszeile 56;14165;Berlin;Claszeile 56 14165 Berlin;Aktive Technik verbaut;Ja;20.05.22;13.06.23;20.12.23;Nein
06G02b;Steglitz-Zehlendorf;G;Süd-Grundschule;Claszeile 57;14165;Berlin;Claszeile 57 14165 Berlin;Aktive Technik verbaut;Ja;20.05.22;14.06.23;12.01.24;Nein
06G03;Steglitz-Zehlendorf;G;Johannes-Tews-Grundschule;Wasgenstr. 50;14129;Berlin;Wasgenstr. 50 14129 Berlin;Anschluss nutzbar;Ja;16.08.22;14.04.23;21.12.23;Ja
06G03b;Steglitz-Zehlendorf;G;Johannes-Tews-Grundschule;Tewsstraße 16A ;14129;Berlin;Tewsstraße 16A  14129 Berlin;In Planung;Ja;;;;Nein
06G04;Steglitz-Zehlendorf;G;Erich-Kästner-Grundschule;Bachstelzenweg 2-8;14195;Berlin;Bachstelzenweg 2-8 14195 Berlin;Anschluss nutzbar;Ja;24.06.22;29.03.23;14.12.23;Ja
06G05;Steglitz-Zehlendorf;G;Conrad-Schule (Grundschule);Schulstr. 4;14109;Berlin;Schulstr. 4 14109 Berlin;Begehung durchgeführt;Ja;07.09.22;;;Nein
06G06;Steglitz-Zehlendorf;G;Mühlenau-Grundschule;Molsheimer Str. 7;14195;Berlin;Molsheimer Str. 7 14195 Berlin;Aktive Technik verbaut;Ja;23.05.22;10.08.23;25.01.24;Nein
