LAT,LON,Bezirk,Schule,Straße,PLZ,Ort,Adresse,Aktueller Status,Standort beauftragt?,"Begehung durgeführt am:
[Datum]","Tiefbau abgeschlossen am: 
[Datum]","Aktive Technik 
verbaut 
am: 
[Datum]","Anschluss nutzbar? 
[Ja / Nein]"
52.5203048,13.1930269,Spandau,Christoph-Földerich-Grundschule,Földerichplatz 5,13595,Berlin,Földerichplatz 5 13595 Berlin,Aktive Technik verbaut,Ja,28.07.22,03.03.23,03.05.24,Nein
52.5512793,13.1771818,Spandau,Siegerland-Grundschule,Hermann-Schmidt-Weg 4,13589,Berlin,Hermann-Schmidt-Weg 4 13589 Berlin,Begehung durchgeführt,Ja,19.10.22,,,Nein
52.5479593,13.2048092,Spandau,Lynar-Grundschule,Lutherstr. 19-20,13585,Berlin,Lutherstr. 19-20 13585 Berlin,Aktive Technik in Planung,Ja,29.07.22,20.03.23,,Nein
52.5302371,13.192002,Spandau,Konkordia-Grundschule,Elsflether Weg 26,13581,Berlin,Elsflether Weg 26 13581 Berlin,Anschluss nutzbar,Ja,26.07.22,22.02.23,18.04.24,Ja
52.525603,13.1799834,Spandau,Grundschule am Birkenhain,Seeburger Str. 59,13581,Berlin,Seeburger Str. 59 13581 Berlin,Anschluss nutzbar,Ja,28.07.22,09.12.22,15.04.24,Ja
52.5459856,13.2717647,Spandau,Robert-Reinick-Grundschule,Jungfernheideweg 33-48,13629,Berlin,Jungfernheideweg 33-48 13629 Berlin,Anschluss nutzbar,Ja,26.07.22,21.02.23,18.01.24,Ja
52.4301707,13.3150074,Steglitz-Zehlendorf,Volkshochschule Steglitz-Zehlendorf,Goethestraße 9-11,12207,Berlin,Goethestraße 9-11 12207 Berlin,Aktive Technik verbaut ohne IHVK,Ja,05.09.22,07.03.24,29.04.24,Nein
52.4366461,13.2562114,Steglitz-Zehlendorf,Nord-Grundschule,Potsdamer Str. 7,14163,Berlin,Potsdamer Str. 7 14163 Berlin,Anschluss nutzbar,Ja,21.06.22,07.11.23,04.12.23,Ja
52.4192374,13.257763,Steglitz-Zehlendorf,Süd-Grundschule,Claszeile 56,14165,Berlin,Claszeile 56 14165 Berlin,Aktive Technik verbaut,Ja,20.05.22,13.06.23,20.12.23,Nein
52.4190565,13.2585886,Steglitz-Zehlendorf,Süd-Grundschule,Claszeile 57,14165,Berlin,Claszeile 57 14165 Berlin,Aktive Technik verbaut,Ja,20.05.22,14.06.23,12.01.24,Nein
52.4318274,13.2126842,Steglitz-Zehlendorf,Johannes-Tews-Grundschule,Wasgenstr. 50,14129,Berlin,Wasgenstr. 50 14129 Berlin,Anschluss nutzbar,Ja,16.08.22,14.04.23,21.12.23,Ja
52.4307611,13.2155093,Steglitz-Zehlendorf,Johannes-Tews-Grundschule,Tewsstraße 16A ,14129,Berlin,Tewsstraße 16A  14129 Berlin,In Planung,Ja,,,,Nein
52.4579133,13.2842131,Steglitz-Zehlendorf,Erich-Kästner-Grundschule,Bachstelzenweg 2-8,14195,Berlin,Bachstelzenweg 2-8 14195 Berlin,Anschluss nutzbar,Ja,24.06.22,29.03.23,14.12.23,Ja
52.41477,13.1467749,Steglitz-Zehlendorf,Conrad-Schule (Grundschule),Schulstr. 4,14109,Berlin,Schulstr. 4 14109 Berlin,Begehung durchgeführt,Ja,07.09.22,,,Nein
52.4431028,13.2761119,Steglitz-Zehlendorf,Mühlenau-Grundschule,Molsheimer Str. 7,14195,Berlin,Molsheimer Str. 7 14195 Berlin,Aktive Technik verbaut,Ja,23.05.22,10.08.23,25.01.24,Nein
52.445743,13.2472386,Steglitz-Zehlendorf,Zinnowwald-Grundschule,Wilskistr. 78,14163,Berlin,Wilskistr. 78 14163 Berlin,Aktive Technik verbaut,Ja,18.10.22,17.05.23,08.12.23,Nein
52.5033927,13.3411059,Tempelhof-Schöneberg,Kolleg Schöneberg,Nürnberger Str. 63,10787,Berlin,Nürnberger Str. 63 10787 Berlin,Begehung durchgeführt,Ja,27.01.23,,,Nein
52.4784092,13.3574585,Tempelhof-Schöneberg,Volkshochschule Tempelhof-Schöneberg,Tempelhofer Weg 62,10829,Berlin,Tempelhofer Weg 62 10829 Berlin,Begehung durchgeführt,Ja,07.02.23,,,Nein
52.4949594,13.356272,Tempelhof-Schöneberg,Spreewald-Grundschule,Pallasstr. 15,10781,Berlin,Pallasstr. 15 10781 Berlin,Begehung durchgeführt,Ja,19.09.22,,,Nein
52.4984478,13.3421803,Tempelhof-Schöneberg,Finow-Grundschule,Welserstr. 16-22,10777,Berlin,Welserstr. 16-22 10777 Berlin,APL installiert,Ja,12.09.22,02.12.22,,Nein
52.4954841,13.3482767,Tempelhof-Schöneberg,Werbellinsee-Grundschule,Luitpoldstr. 38,10781,Berlin,Luitpoldstr. 38 10781 Berlin,Begehung durchgeführt,Ja,12.09.22,,,Nein
52.4841962,13.3677549,Tempelhof-Schöneberg,Havelland-Grundschule,Kolonnenstr. 30 - 30a,10829,Berlin,Kolonnenstr. 30 - 30a 10829 Berlin,Begehung durchgeführt,Ja,17.10.22,,,Nein
52.4799688,13.3384592,Tempelhof-Schöneberg,Sternberg-Grundschule,Mettestr. 8,10825,Berlin,Mettestr. 8 10825 Berlin,Begehung durchgeführt,Ja,10.10.22,,,Nein
52.4582322,13.3635317,Tempelhof-Schöneberg,Lindenhof-Grundschule,Reglinstr. 29,12105,Berlin,Reglinstr. 29 12105 Berlin,Begehung durchgeführt,Ja,16.02.23,,,Nein
52.4843673,13.3560967,Tempelhof-Schöneberg,Teltow-Grundschule,Feurigstr. 57,10827,Berlin,Feurigstr. 57 10827 Berlin,Begehung durchgeführt,Ja,17.10.22,,,Nein
